,Unnamed: 0,text,cmp_code,eu_code
0,0,Germany.,H,
1,1,But normal.,H,
2,2,Program of the alternative for Germany for the election for the 20th German Bundestag,H,
3,197,Democracy and the rule of law,H,
4,198,The people are the sovereign,H,
5,199,"The government politicians in the federal and state governments have often violated the principles of German state, law and the constitution with their refugee, European and Corona policy.",305.2,
6,200,"At the same time, the representatives of the established parties have had the constitutionally guaranteed parliamentary reservation for all important decisions in the state without resistance.",202.1,
7,201,The Federal Government does not meet its duty to counter the contract broken and self-authorization through EU institutions.,110,
8,202,Individual rights and unconstitutional measures were brought down by brave judges in hundreds of judgments.,605.1,
9,203,"In our country, however, a political class has developed, the priority of which applies to its power, status and material well -being.",304,
10,204,"This sets the social and cultural future of our people, the strength of our economy and thus of our prosperity and puts multiculturalism, diversity, globalization and supposed gender justice over everything.",601.1,
11,205,"It holds the gear levers of state power, political education and informational and media influence on the population.",304,
12,206,That is why we consider direct democracy to be an indispensable means to stop the authoritarian and sometimes totalitarian behavior of government politicians.,202.4,
13,207,People's votes according to Swiss model,H,
14,208,The AfD also calls for referendums according to Swiss model for Germany.,202.4,
15,209,"The unrestricted folk sovereignty in its almost 200 years of proven and optimized design has guaranteed the federal state of a constant top position in prosperity, peace and freedom.",202.4,
16,210,"Through the referendums, we want to contain the flood of the often nonsensical legal templates and force parliaments to work carefully.",202.4,
17,211,Inapprising resolutions of the MPs on our own behalf we want to put a stop.,304,
18,212,"These include, for example, the diets, parliamentary group and party financing as well as the financing of ""party-related"" foundations.",304,
19,213,The word fracture of the established parties regarding the euro and the increasing centralization of the EU threaten the future of our country (as well as the following generations).,110,
20,214,We want to end these fatal politics.,110,
21,215,The introduction of referendums according to the Swiss model is for the AfD non -negotiable content of any coalition agreement and includes the following elements in particular:,202.4,
22,216,"Without the consent of the people, the Basic Law may not be changed and no significant international law contract should be concluded.",202.4,
23,217,We want to give the people the right to look at the MPs on their fingers and to change or reject laws decided by parliament.,202.4,
24,218,The people should be given the opportunity to contribute legislative initiatives and to decide by referendum.,202.4,
25,219,There should be no thematic restrictions beyond Art. 79 Para. 3 GG.,202.4,
26,220,"The quality of the decision of the citizens must be secured by a pronounced and autonomous process of willing, through information obligations and rights and a broad social debate.",202.4,
27,221,Parliaments should also be given the opportunity to initiate a referendum.,202.4,
28,222,"As the only one of the parties represented in the Bundestag, we consider the German people to be as mature as that of the Swiss.",202.4,
29,223,"Contrary to other claims, citizens decide on questions of fate of the nation of farsighted, peaceful and common good -oriented as professional politicians.",202.4,
30,224,"This is the teaching from reunification, from the rejection of the ""EU Constitution Treaty"" by the French and the Dutch people and the United Kingdom's decision to resign from the European Union.",202.4,
31,225,"We no longer trust that governments and parliaments can find sustainable solutions to currency crises, migration, Islamization or the energy transition.",202.4,
32,226,The people as a sovereign must be in direct co -determination of such fateful decisions.,202.4,
33,227,Ensure the separation of powers,H,
34,228,Numerous laws and political practice have put the separation of powers in Germany as the core element of the rule of law over the years,202.1,
35,229,and led to an exuberant state authority:,201.1,
36,230,"Former politicians on judge chairs, deputies who are also Chancellor, Prime Minister or Minister and check themselves, as well as party -political networks that arise from prohibited, unconstitutional patron saints can no longer be tolerated.",304,
37,231,"Public offices are to be awarded exclusively according to ""suitability, ability and professional performance"" (Art. 33 para. 2 GG).",304,
38,232,Depoliticization of the judiciary,H,
39,233,The AfD wants to end the influence of political parties on the appointment of judges and prosecutors.,202.1,
40,234,"We also want to change the practice that the public prosecutor's office is bound by instructions and, in individual cases, the Minister of Justice is subject to report.",202.1,
41,235,"The independence of the third violence must be expanded by self -administration of the judiciary, as is already common in many other European countries.",202.1,
42,236,We therefore support the model proposal of the German judge's association to set up a legal committee and a judicial board.,202.1,
43,237,The constitutional courts and accounts in particular must be protected against party -political effects.,202.1,
44,238,Reform the constitutional protection,H,
45,239,The officially organized “constitutional protection” must be put to the test as soon as possible and reformed in such a way that in the future it can no longer be misused as a party -political instrument against political opponents.,202.1,
46,240,Separation of the office and mandate and struggle of the patron saint,H,
47,241,"Chancellor, Prime Minister and Minister must no longer be a member of parliament.",304,
48,242,The institution of the parliamentary state secretaries must be abolished.,304,
49,243,"This also applies to the institute of ""political civil servants"" in the state administration - from the ministerial director to police chief.",304,
50,244,The public administration employees have to do their job independently and loyal.,304,
51,245,Civil servants and judges are only to be filled according to qualifications.,304,
52,246,"The ""party book economy"" must be ended.",304,
53,247,Principles of professional suitability and professional qualifications also have to apply to the state's top staff in the cabinets.,304,
54,248,Party -political careers cannot compensate for technical deficits.,304,
55,249,Make the parties limit,H,
56,250,"The parties should participate in the political system (Art. 21, Paragraph 1 GG),",202.1,
57,251,But don't master it.,304,
58,252,"The omnipotence of the parties and their ""exploitation of the state"" endanger our democracy.",304,
59,253,This political instrumentalization of the state is also the cause of the widespread disenchantment with politics.,202.1,
60,254,"The loyalty of the MPs must apply to the citizens and the state, not the party directors.",304,
61,255,"In addition to the official party financing of around 194 million euros annually, the parties have had additional financial resources.",304,
62,256,"It should be emphasized that the financing of so -called political foundations, which alone will allow 600 million euros from the federal budget annually.",304,
63,257,"We also consider the “employee flat rate” of 22,436 euros to be due to every member of the Bundestag.",304,
64,258,It can be questioned whether scientifically qualified staff or party soldiers will be employed in any case.,304,
65,259,"The AfD wants to regulate the entire state party financing and significantly limit,",304,
66,260,as well as the state financing of partyist fully abolish.,304,
67,261,"Contrary to current practice, all funds of party financing should be subject to unlimited control of the invoice stations.",304,
68,262,Another restrictive and corruption of avoiding reorganization of the donation regulations is also essential.,304,
69,263,"Furthermore, the parties should finally be banned from participating in companies, especially media companies.",304,
70,264,Free list choice and free mandate,H,
71,265,The political class of Germany has increasingly exploited and adapted the right to vote and the election process over time in order to minimize the influence of the people on the application selection.,202.4,
72,266,The voters are currently being presented with rigid electoral lists of the parties.,202.4,
73,267,"In fact, the party board members determine the composition of the parliament via the ""safe list places"".",202.4,
74,268,"With a democratic design of the electoral system, the AfD wants to give the voter back the decision on the personnel composition of the parliaments.",202.4,
75,269,"That is why we enter for the ""free list of lists"", with the possibility of cumulating, panicking and painting for candidates.",202.4,
76,270,Disruption of parliaments,H,
77,271,"With its 709 MPs, Germany is one of the largest parliaments in the world.",303,
78,272,"The constitutional law change enforced by the CDU/CSU and SPD in October 2020 does not correspond to the reform of the election to the Bundestag, which is warned by the Federal Constitutional Court.",303,
79,273,"With around 2,500 MPs in the federal and state governments and the associated administrative apparatus, Germany has oversized parliaments.",303,
80,274,We strive to reduce the Bundestag by about half.,303,
81,275,Professional politics: limit mandate and terms,H,
82,276,The unbroken tendency towards professional politics has encouraged the monopolization of power and steadily enlarged the unmistakable gap between voters and the elected.,202.1,
83,277,"The result is the result of the nepotism, felt, corruption, corruption.",304,
84,278,"In order to realize our ideal of the citizen MP, we call for a limitation of the mandate for MPs to four and the term for the Federal Chancellor to two legislative periods.",303,
85,279,"It is not the remuneration of MPs, but political idealism should be motivation to run for a mandate.",304,
86,280,Curb lobbyism,H,
87,281,We want members of the Bundestag to dedicate their full workforce to parliamentary work.,304,
88,282,The mandate must not suffer from paid secondary activities.,304,
