,text,cmp_code,eu_code
0,The challenges for Italy,,
1,Updated based on your challenges sent to us until February 13th,0.0,
2,"Politics failed to live up to its function, has failed in the task of modernizing Italy and equipping it for future challenges and, under the blackmail of the economic crisis, has abdicated the so -called responsibilities to govern to the so -called technicians.",202.0,
3,We are only western democracy to have had a government not chosen by citizens.,202.0,
4,"We are trying with ridiculous tricks to procrastinate this suspension of popular sovereignty with a President of the Council who persists not to want to apply and want to be a premier, as if that role was conferred by authorities other than the Italian people.",202.0,
5,"To start again it is necessary to launch a new challenge, turn the page and free all the available energies, sometimes submerged, deliberately suffocated.",305.0,
6,"It is necessary to revolutionize Italy, change a political class not by registry selection, because there is a risk of losing precious forces and undermining that pact between generations on which a community project must be founded, but by merit, laboriousness, civic passion, competence.",305.0,
7, ,,
8,"Those who have failed, not those who are elderly, who have cheated, had the opportunity to solve the problems and did not know how to do it.",305.0,
9,"We do not want to break out, we want to regenerate an Italy up to the critical issues of our time.",305.0,
10,"We demand that politics will return to be civic commitment, passion for ideas and their affirmation, willingness to build a social model compatible with the values for which you fight.",305.0,
11,"We seek comparison, but we do not hide the differences in accordance with an ethical relativism that cancels identities.",305.0,
12,We eve because the commitment in public affairs is never a vehicle again to achieve personal ambitions.,305.0,
13,"A revolution that puts the state at the service of the person to free energy, bring out the will and invest in talent, to break down the walls of those privileges that the first republic has stratified and the second has not been able to scratch.",305.0,
14,"The Italy that we inherited is a blocked nation, intended for early senility, where merit and ability struggle to impose themselves and the commitment is rarely rewarded.",305.0,
15,Who can realize this revolution?,305.0,
16,The left cannot return vitality to society.,305.0,
17,"His consent traditionally passes through the alliance with interest groups (unions, judiciary, finance, lobbies) who defend those who are already guaranteed and want to keep a social model that no longer exists.",305.0,
18,"The system of rights and duties must be rewritten on the basis of the epochal changes that broke into the old cultural references of the second post -war period, to recompose a solidarity and equity between social categories and generations that has failed with the pressing of the crisis.",305.0,
19,"Popularism, understood as a synthesis between Catholic and conservative liberalism, identity patriotism and secular reformism has the roots and values to make tradition and modernity, production and sociality, merit and solidarity live together, but has shown all its limits so far.",305.0,
20,"No creative flicker, poor ability to get involved, the absence of stimuli for new cultural elaborations and consequent absence of a 'vision', laces and tightened lacquers with plastered corporations that have suffocated the enthusiasm of the origins, in Italy resulting from the 'cyclone of the'94'.",305.0,
21,"In short, the defenders of the status quo have broken through us and made the reforms impossible.",305.0,
22,"Europe, the common house in which we believe, is crossed by the same crisis of legitimacy.",110.0,
23,"National states have sold pieces of sovereignty, but have not been compensated by the advent of the sovereignty of European peoples.",110.0,
