,text,cmp_code,eu_code
0,On behalf of the people,H,
1,144 presidential commitments,H,
2,Marine 2017,H,
3,Engagements présidentiels Marine 2017,H,
4,"Put France in order, in five years.This is the commitment I make.My project contains 144 major measures that will be detailed to you throughout the campaign.I wanted, by this approach, to allow you to control my action at the head of the state during the five -year term.Without this control, there is no healthy democracy.The objective of this project is first of all to return its freedom to France and the word to the people.Because it is in your name, and for your only benefit, that any national policy must be carried out.I also want to return their money to the French, because for too many years, our social and fiscal policy has impoverished the middle and popular classes, while it enriches multinationals and dilapid public money via completely uncontrolled immigration.My project, you can see, is a real proximity revolution.Democratic proximity: I want decisions to be made as close as possible to citizens and directly controlled by them.Economic proximity: it is a question of redeveloping our territory, of finding public services there everywhere, of relocating our businesses and therefore our jobs.No more French, no more French ends, including overseas for which I have already presented my full project, should be forgotten.You are aware of this, this presidential election will face two visions.The “globalist” choice on the one hand, represented by all my competitors, who seeks to destroy our great economic and social balances, which wants the abolition of all borders, economic and physical, and which always wants more immigration andless cohesion between the French.The patriotic choice of the other, which I embody in this election, which defends the nation and the people at the heart of any public decision and which above all wants the protection of our national identity, our independence, the'Unity of French, social justice and prosperity of all.This choice between two major visions, it will be yours, it will be a choice of civilization.And he will also engage the future of our children.",,
5,I - A free France,H,
6,Give France its national sovereignty.,H,
7,"Towards a Europe of independent nations, at the service of peoples",H,
8,"Find our freedom and the mastery of our destiny by restoring the French people with its sovereignty (monetary, legislative, territorial, economic).",601.1,
9,"For this, a negotiation will be engaged with our European partners followed by a referendum on our belonging to the European Union.",110,
10,"The objective is to achieve a European project respectful of France's independence, national sovereignties and which serves the interests of peoples.",110,
11,Institutional reforms: to give voice to the people and establish a local democracy,H,
12,Organize a referendum in order to revise the Constitution and condition any future revision of the Constitution to a referendum.,202.4,
13,Expand the scope of article 11 of the Constitution.,203,
14,Allow the representation of all French people by the ballot proportional to all elections.,202.1,
15,"In the National Assembly, the proportional will be integral with a majority premium of 30 % of the seats for the list arrived at the head and a threshold of 5 % of the votes to obtain elected officials.",202.1,
16,Lower the number of deputies to 300 (compared to 577 today) and the number of senators to 200 (against 348 today).,303,
