,Unnamed: 0.1,Unnamed: 0,text,cmp_code
0,0,0,The Country Today Faces a Vital Choice.,0
1,1,1,"It depends on all of column Russia Will Be a Free, Independent, Dynamical Developing Country, Were The Dignity of Personality IS EnsuRed by Law and Income, Or it Will Final Final Final Final Final Ly Turn into a Raw Materials Appendage of the Golden Billion, and WeWill Continue to Rule Lawlessness and Corruption.",601
2,2,2,Social Inequality Has Become the Main MisFortune of Russia.,503
3,3,3,"The Lion's Share of the Wealth of the Country is Appropriated by Ansignificant Minority - The Oligarchs, The Corrupt Bureaucracy, All Kinds of Speculators And Intermed Iaries Who Care Only Their Own Benefits.",503
4,4,4,The Gap Between The Rich and the Poor Becomes Deeper.,503
5,5,5,"The Social Status of a Person, His Position in Society Is Determined Not by Serving His Country, Not by Labor and Professional Achieves, Not Intelligence and Talent, BUT ACCISS TOO Power and Resources.",503
6,6,6,"A Citizen of Russia Cannot Count on the Fact that, Sick, He Will Receive High -quality Medical Care.",504
7,7,8,"PEOPLE HAVE CEASED to Hope that WULD Provide Support in A Difficult Period of Life, The Size of Most Social Payments and Benefits Is UnacPutably Small.",504
8,8,9,The Party Fair Russia is Outraged by the state of affairs in the country and Will Not Put up with it!,305
9,9,10,We are AWARE OUR Responsibility to the Current and Future Generations of Citizens of the Country.,606
10,10,11,"Only We - Socialists - Have a Real Program that Will Help Russia Become a Progressive, Prosperous Country.",601
11,11,12,"OUR IDEAL IS A Fair, Free and Joint Society, In Which The Interests of People Are in the First Place!",606
12,12,16,"The New Socialism Will Give Russia a New PowerFul Development Impetus, A New Social Energy that Cancome Universal Apathy, Disappoint and Even Despar that struck our soc. IETY.",601
13,13,17,"We Will Unite Russian Society, We Will Return To People Confidence in Tomorrow, We Will Return Faith in Our Strength!",606
14,14,18,Strong Russia is a Fair Russia!,503
15,15,20,"Russian Culture is the Air That Breathes a Nation, than Which Russian National Unity Remains.",606
16,16,25,Modern Society Loses Moral Guidelines.,603
17,17,26,"Labor Ethics are Almost Completely Destroyed, Without Which Scientific and Technological Progress and Modernization of the Country Are Impossible.",411
18,18,31,Particular Atting Be Paid to the Suport of Russian Culture as the Development of the Multinational Culture of Russia.,608
19,19,33,The state Will Invest in a Culture of At Least 3% of GDP.,404
20,20,38,OUR Duty Is to Maintain A National Treasure For Future Generations!,601
21,21,46,No - The Cult of Violence and Vulgarity on TV!ENUGH To Promote Crime!,603
22,22,48,The Great Multinational Russian Culture Is the Key to Success in the Modernization of the Country.,601
23,23,50,The Current Political System Needs Serious Modernization.,202
24,24,51,Existing Political Restricts and Barriers Impede the Implementation of the Mechanisms of Democracy and Become a Brake in the Socio-Economic Development OF RUSSIAN SOCIETY.,202
25,25,52,Democratic Institions Are not Developing.,202
26,26,53,"The PEOPLE CEASE to PERCEIVE THEMSELves as the Bearer of Sovereignty and the Only Source of Power in the Russian Federal, and the Government Its Legitimacy, Trust Inn OCIETY.",202
27,27,55,Direct Elections by the Population of Governors and Mayrs.,202
