"text","cmp_code","eu_code"
"PLATEFORME ÉLECTORALE PCC 2015  OUR CONSERVATIVE PLAN TO PROTECT THE ECONOMY  FOREWORD BY PRIME MINISTER STEPHEN HARPER",NA,NA
"In this election, Canadians have a clear choice: a choice that carries the greatest of consequences for our economy, for our jobs, and for our families.  Amid a global economy that is once again weak and in turmoil, Canada's economy remains stronger than most – but it's fragile, and needs protection from instability elsewhere in the world.  On October 19, Canadians will choose which party has the best plan, in these troubled times, to protect our economy and protect your job.  Because our economic vision for Canada is so different from that of our opponents, your choice will make a huge difference. Wrong government decisions on taxes, spending, and deficits will expose our economy to harm, and ultimately put the jobs of hard-working Canadians at risk.  For Conservatives, protecting Canada's economy is our number one priority.   That's why we have a positive plan to protect the economy and create jobs over the next four years, and beyond.  We'll:  Keep the federal budget balanced.  Lower taxes on small businesses and workers.  Aim to create another 1.3 million new, well-paying jobs by 2020.  Open new markets for Canadian businesses and products through the Trans-Pacific Partnership.  Aim to add more than 700,000 new homeowners by 2020.  Provide new tax relief and benefits to familiesand seniors.   Our plan will keep Canada's economy moving forward.   It's the right plan for our economy.  It's the right plan for Canadians.   Of course, we'll also continue to protect Canadians in a dangerous and uncertain world, keeping our streets and communities safe.   But ultimately, all of these things depend on a strong and growing economy.  So the choice in this election is this: Which government do you trust to manage and protect the fragile Canadian economy, and your job, in the face of global economic turmoil?  Our Conservative Party is the only party with a proven economic record and a low-tax, balanced budget plan for the future.   Permanent deficits, higher taxes, and more debt, as proposed by the Liberals and the NDP, will wreck our economy, cost you money, and possibly your job.   This platform sets out a different, better plan for the next four years. It's our plan to make this country – the greatest country in the world – even stronger and more prosperous for hard-working Canadian families, now and for generations to come.   It's our Economic Action Plan. It's working. Let's continue on with what we know works.",NA,NA
"PROTECTING OUR ECONOMY: OUR CONSERVATIVE PLAN",NA,NA
"We have a positive plan for the next four years to protect Canada's economy,","403",NA
"create new, well-paying jobs,","410",NA
"and help families and seniors.","504",NA
"BALANCED BUDGET",NA,NA
"We balanced the budget last year – one year ahead of schedule – and already have a significant surplus for this year.","414",NA
"A balanced budget is the anchor of our low-tax plan to protect our fragile economy and help Canadian families.","414",NA
"We'll continue to make the right choices to keep our budget balanced and taxes low.","414",NA
"LOWER TAXES",NA,NA
"Our low-tax pledge is rooted in our record:","305",NA
"Canadians know that we'll do what we say and that we'll manage taxpayer dollars responsibly.","305",NA
"We're prepared to go even further and entrench our low-tax plan in legislation.","414",NA
"Our ''tax lock'' legislation will back our low-tax commitment – to families, seniors, workers and small businesses – with the force of the law for the next four years.","414",NA
"MORE AND BETTER JOBS",NA,NA
"Our number one priority is the economy – creating jobs and economic growth.","410",NA
"Canada has led the G-7 in job creation since 2006 because we've made the right choices.","305",NA
"We've created 1.3 million net new jobs since the depths of the global economic recession,","305",NA
"and our plan will create another 1.3 million new, well-paying jobs by 2020.","410",NA
"EXPANDED TRADE",NA,NA
"Canada is a trading nation and we've made historic strides to open new markets for Canadian businesses and their workers.","407",NA
"The Trans-Pacific Partnership is the largest free trade deal in history.","407",NA
"It provides almost 800 million new customers throughout the Asia-Pacific region for Canadian goods and services.","407",NA
"Membership in this agreement is a good deal for Canada, one that will create jobs and opportunities and protect our economy.","407",NA
"FAMILY HOME",NA,NA
"Homeownership is a key way to support Canadian families.","504",NA
"And we're helping more Canadians become homeowners by providing new support to buy and invest in their homes.","504",NA
"Now one in seven Canadian households owns their own homes – one of the highest rates in the industrialized world.","504",NA
"And, under our plan for affordable, responsible homeownership, we'll aim to add more than 700,000 new homeowners by 2020.","504",NA
"SUPPORTING SENIORS",NA,NA
"Canadian seniors deserve our respect and gratitude for a lifetime of hard work in service to our families, our communities, and our country.","504",NA
"Our Government has lowered taxes and enhanced benefits to make life more affordable for Canadian seniors.","504",NA
"And, under our plan, single and widowed seniors will get new, major tax relief to help them live their later years in dignity and comfort.","504",NA
"These are our priorities:   Keeping our budget balanced.","414",NA
"Lowering taxes on families, seniors, and small businesses.","410",NA
"Creating 1.3 million new jobs.","410",NA
"Opening new markets for Canadian businessesand workers.","407",NA
"Helping 700,000 more Canadians own their own homes.","706",NA
"This is our positive plan to protect Canada's fragile economy and keep it moving forward for the next four years.","410",NA
"OUR CONSERVATIVE PLAN FOR A BALANCED BUDGET AND LOW TAXES",NA,NA
"To protect Canada's economy, a re-elected Conservative Government will:   Ensure the federal budget remains balanced","414",NA
"Control government spending","414",NA
"Keep the tax burden low","414",NA
"Continue to reduce Canada's debt-to-GDP ratio","414",NA
"Maintain our balanced budget legislation","414",NA
"Pass “Tax Lock” legislation to prohibit tax increases in the next four years","414",NA
"Budgets don't balance themselves.","305",NA
"Canadian families and small business owners understand that.","305",NA
"So does our Conservative Government.","305",NA
"Keeping Canada's public finances on a solid footing involves hard work and tough choices.","305",NA
"And that's what we've done.","305",NA
"Our Conservative Government has controlled spending, lowered taxes, and kept Canada's debt levels the lowest in the G-7 by far.","414",NA
"This serves as the fiscal foundation for our plan for Canada's economy.","414",NA
"A balanced budget lets us return more money back into the pockets of hard-working families.","414",NA
"The federal tax burden is now at its lowest in over half a century.","414",NA
"A balanced budget lets us maintain our low debt levels.","414",NA
"Low public debt means less taxpayer money dedicated to interest payments and makes it easier for businesses to borrow and invest at a low cost.","410",NA
"A balanced budget lets us make targeted, affordable investments to protect our fragile economy and help families.","414",NA
"This is the basis for our recent enhancement to the monthly Universal Child Care Benefit, our historic infrastructure investment, and the new measures set out in our plan for the next four years.","504",NA
"A balanced budget allows us to protect key programs such as health care and education without having to make deep spending cuts,","504",NA
"like previous Liberal governments.","305",NA
"A balanced budget ensures that we're not passing on a massive debt burden to our children and grandchildren.","414",NA
"It's for these reasons that our Conservative Government has been so committed to balancing the budget.","414",NA
"A balanced budget is the anchor for our low-tax plan that's helping Canadian families and protecting Canada's fragile economy.","414",NA
