text,cmp_code
"In 2016, Democrats meet in Philadelphia with the same basic belief that animated the Continental Congress when they gathered here 240 years ago: Out of many, we are one.",conservatism
"and thanks to the hard work and determination of the American people, we have come a long way from the Great Recession and the Republican policies that triggered it.",conservatism
Twenty million people have gained health insurance coverage.,regulationism
But too many Americans have been left out and left behind.,progressivism
They are working longer hours with less security.,regulationism
Wages have barely budged,regulationism
"and the racial wealth gap remains wide,",progressivism
while the cost of everything from childcare to a college education has continued to rise.,regulationism
"And for too many families, the dream of homeownership is out of reach.",laissez-faire
"As working people struggle, the top one percent accrues more wealth and more power.",regulationism
It’s no wonder that so many feel like the system is rigged against them.,regulationism
"Democrats believe that cooperation is better than conflict,",conservatism
"unity is better than division,",conservatism
"empowerment is better than resentment,",progressivism
and bridges are better than walls.,progressivism
It’s a simple but powerful idea: we are stronger together.,conservatism
Democrats believe we are stronger when we have an economy that works for everyone,regulationism
"—an economy that grows incomes for working people,",progressivism
"creates good-paying jobs,",progressivism
and puts a middle-class life within reach for more Americans.,progressivism
which will create good-paying jobs and raise wages.,progressivism
"And we can have more economic fairness,",regulationism
"so the rewards are shared broadly, not just with those at the top.",progressivism
"We need an economy that prioritizes long-term investment over short-term profit-seeking,",regulationism
"rewards the common interest over self-interest,",regulationism
and promotes innovation and entrepreneurship.,laissez-faire
"We believe that today’s extreme level of income and wealth inequality—where the majority of the economic gains go to the top one percent and the richest 20 people in our country own more wealth than the bottom 150 million—makes our economy weaker,",regulationism
"our communities poorer,",regulationism
and our politics poisonous.,progressivism
And we know that our nation’s long struggle with race is far from over.,progressivism
"More than half a century after Rosa Parks sat and Dr. King marched and John Lewis bled, more than half a century after César Chávez, Dolores Huerta, and Larry Itliong organized, race still plays a significant role in determining who gets ahead in America and who gets left behind.",progressivism
We must face that reality and we must fix it.,progressivism
"We believe a good education is a basic right of all Americans, no matter what zip code they live in.",regulationism
"We will end the school-to-prison pipeline and build a cradle-to-college pipeline instead, where every child can live up to his or her God-given potential.",regulationism
We believe in helping Americans balance work and family without fear of punishment or penalty.,progressivism
We believe in at last guaranteeing equal pay for women.,progressivism
"And as the party that created Social Security, we believe in protecting every American’s right to retire with dignity.",regulationism
"We firmly believe that the greed, recklessness, and illegal behavior on Wall Street must be brought to an end.",regulationism
