,text,cmp_code,eu_code
0,"The slogan ""We are for Russians!""It does not mean at all that the LDPR is fighting against other peoples.",607.0,
1,"We respect all of them and want only one thing: so that all the peoples of Russia throughout its territory would have equal rights and obligations, so that the Russians would not humiliate and rob.",607.0,
2,Who is Russian?,601.0,
3,"First of all, this is the one who feels himself, considers the Russian language to be relatives, loves Russian culture and Russian lifestyle.",601.0,
4,We are against Nazi methods for determining blood purity using genetics.,0.0,
5,"Russian is the one who proudly says: ""I am Russian!""",601.0,
6,"And we are not interested in the composition of his blood, the shape of the skull and skin color.",0.0,
7,"Well, who does not want to consider himself Russian, let him not think - we do not force anyone.",0.0,
8,"""For Russians!""means: the LDPR protects the Russian, Tatars, and Jews, and Chechens, and the Buryats - all the inhabitants of our great homeland.",601.0,
9,"But over the past 100 years, it was the Russians who have been under the press of discrimination.",601.0,
10,Judge for yourself: in all countries of the world there is an increase in the population.,0.0,
11,There is no demographic problem there.,0.0,
12,"In Russia, the opposite is true.",6061.0,
13,She is the only country in the world where men are 10 million less than women.,6061.0,
14,"We have a multinational country, more than 100 nationalities, but only the Russians over the past century were destroyed by tens of millions.",601.0,
15,"It was the Russians who carried out the severity of all revolutions, all wars, all reforms, perestroika.",601.0,
16,"Today, about patriotism, the troubles of the Russian people are talking about all who is not lazy, including those who kill our people.",601.0,
17,"Many spoke about this, even the Communists, who for decades exterminated and destroyed the Russians.",601.0,
18,The LDPR called for the solution of the Russian issue from the day the party was founded.,601.0,
19,"We were the first to lead people to the Russian march on Tverskaya Street under the slogan “Russians, forward!”.",601.0,
20,"And for 22 years, Russian protection is the basis of the ideology of the party.",601.0,
21,"At the same time, the actions of the LDPR have never led to an exacerbation of the situation.",305.0,
22,Only the LDPR really knows what the Russian question is.,305.0,
23,"We - the first and only - raised our voice in defense of the Russians, expelled from Kazakhstan, Central Asia, the Baltic states and from the Caucasus (millions of Russians were forced to flee from there, throwing all their property, the houses of their ancestors!) Even when those who come who come andToday at our rallies.",7051.0,
24,"We want a hard, clear Russian voice in the capital of our homeland to Moscow, in other cities.",601.0,
25,We want our neighbors - close and distant - to treat us with great respect.,601.0,
26,And we also want our youth to not have to go to the Manezhnaya Square and demand the legitimate punishment of the murderers of Russian people.,601.0,
27,"We are not talking about privileges for some people, we are talking about the fact that we must stop depriving Russian rights to housing, work, the right to speak Russian, think in Russian.",601.0,
