	text	label	cleaned_text
1507	The settlement governing these islands has changed profoundly in the last twenty years.	0	The settlement governing island changed profoundly last twenty year
1818	The framework we design together will be administered in collaboration with, and in respect of, provincial jurisdictions.	0	The framework design together administered collaboration with respect of provincial jurisdiction
1452	That is not all we will do.	0	That do
1368	To return the States to their proper role of regulating  local  insurance  markets  and  caring  for  the needy,  we  propose  to  block  grant  Medicaid  and  other payments  to  the  States;	0	To return States proper role regulating local insurance market caring needy propose block grant Medicaid payment States
1242	Legislation  to  restore  the  authority  of States  in  environmental  protection  is  essential.   	0	Legislation restore authority States environmental protection essential
1929	develop a fund to ease pressure on local areas and public services.	0	develop fund ease pressure local area public service
1262	The  first  step  is  to  move  the  two  programs  away from  their  current  unsustainable  defined benefit entitlement  model  to  a  fiscally  sound  defined contribution  model.	0	The first step move two program away current unsustainable defined benefit entitlement model fiscally sound defined contribution model
1810	Over the next three years, we will:  invest $200 million each year in a new Innovation Agenda to significantly expand support for incubators and accelerators, as well as the emerging national network for business innovation and cluster support;	0	Over next three year will invest 200 million year new Innovation Agenda significantly expand support incubator accelerator well emerging national network business innovation cluster support
1318	 In  order  to restore  the  rule  of  law,  federal funding  should  be  denied  to  sanctuary  cities  that  violate  federal  law and  endanger  their  own  citizens,	0	In order restore rule law federal funding denied sanctuary city violate federal law endanger citizen
1049	23. Support Small Business	0	23 Support Small Business
1446	free trade	0	free trade
1142	We will encourage investments in small businesses.	0	We encourage investment small business
1968	In the last five years, we have proven that we are the party of the Union.	0	In last five year proven party Union
1345	All unreasonable economic impediments must be removed, including unreasonable U.S. customs practices.	0	All unreasonable economic impediment must removed including unreasonable US custom practice
1971	we will implement the Smith Commission and St David’s Day Agreement or equivalent changes in the rest of the UK, including English votes for English laws.	0	implement Smith Commission St David’s Day Agreement equivalent change rest UK including English vote English law
1133	Republicans will pursue free market policies that are the surest way to boost employment	0	Republicans pursue free market policy surest way boost employment
1104	A measure of this kind allows: an increase in resources immediately available for the company;The possibility for banks to expand the credit lines, whose ceiling depends on the relationship between own means and financed capital;the emergence of income so far as little known.	0	A measure kind allows increase resource immediately available companyThe possibility bank expand credit line whose ceiling depends relationship mean financed capitalthe emergence income far little known
1006	We must make sure that everyone has a fair shot at homeownership.	0	We must make sure everyone fair shot homeownership
1600	The National Investment Bank will fill existing gaps in lending by private banks, particularly to small businesses,	0	The National Investment Bank fill existing gap lending private bank particularly small business
