text,cmp_code
But too many Americans have been left out and left behind.,progressivism
"and the racial wealth gap remains wide,",progressivism
"empowerment is better than resentment,",progressivism
and bridges are better than walls.,progressivism
"—an economy that grows incomes for working people,",progressivism
"creates good-paying jobs,",progressivism
and puts a middle-class life within reach for more Americans.,progressivism
which will create good-paying jobs and raise wages.,progressivism
"so the rewards are shared broadly, not just with those at the top.",progressivism
and our politics poisonous.,progressivism
And we know that our nation’s long struggle with race is far from over.,progressivism
"More than half a century after Rosa Parks sat and Dr. King marched and John Lewis bled, more than half a century after César Chávez, Dolores Huerta, and Larry Itliong organized, race still plays a significant role in determining who gets ahead in America and who gets left behind.",progressivism
We must face that reality and we must fix it.,progressivism
We believe in helping Americans balance work and family without fear of punishment or penalty.,progressivism
We believe in at last guaranteeing equal pay for women.,progressivism
"restore the full power of the Voting Rights Act,",progressivism
and return control of our elections to the American people.,progressivism
Democrats believe we are stronger and safer when America brings the world together and leads with principle and purpose.,progressivism
"We believe we should strengthen our alliances, not weaken them.",progressivism
We believe in the power of development and diplomacy.,progressivism
and that we must do everything we can to honor and support our veterans.,progressivism
"And we know that only the United States can mobilize common action on a truly global scale, to take on the challenges that transcend borders, from international terrorism to climate change to health pandemics.",progressivism
"Above all, Democrats are the party of inclusion.",progressivism
We know that diversity is not our problem—it is our promise.,progressivism
"As Democrats, we respect differences of perspective and belief, and pledge to work together to move this country forward, even when we disagree.",progressivism
"With this platform, we do not merely seek common ground—we strive to reach higher ground.",progressivism
We are proud of our heritage as a nation of immigrants.,progressivism
"We know that today’s immigrants are tomorrow’s teachers, doctors, lawyers, government leaders, soldiers, entrepreneurs, activists, PTA members, and pillars of our communities.",progressivism
"We believe in protecting civil liberties and guaranteeing civil rights and voting rights, women’s rights and workers’ rights, LGBT rights, and rights for people with disabilities.",progressivism
"But in 2016, the stakes can be measured in human lives—in the number of immigrants who would be torn from their homes;",progressivism
in the number of faithful and peaceful Muslims who would be barred from even visiting our shores;,progressivism
in the number of allies alienated and dictators courted;,progressivism
"a more equal society,",progressivism
"Republican governors, legislatures, and their corporate allies have launched attack after attack on workers’ fundamental rights to organize and bargain collectively.",progressivism
"Too many Americans are living paycheck to paycheck,",progressivism
retiring with dignity,progressivism
"The Democratic Party believes that supporting workers through higher wages,",progressivism
"workplace protections,",progressivism
"policies to balance work and family,",progressivism
No one who works full time should have to raise a family in poverty.,progressivism
and have the right to form or join a union,progressivism
"and will work in every way we can—in Congress and the federal government, in states and with the private sector—to reach this goal.",progressivism
"give all Americans the ability to join a union regardless of where they work,",progressivism
We also support creating one fair wage for all workers by ending the sub-minimum wage for tipped workers and people with disabilities.,progressivism
"Democrats support a model employer executive order or some other vehicle to leverage federal dollars to support employers who provide their workers with a living wage,",progressivism
"good benefits,",progressivism
and the opportunity to form a union without reprisal.,progressivism
"The Democratic Party believes that when workers are strong, America is strong.",progressivism
"Democrats will make it easier for workers, public and private, to exercise their right to organize and join unions.",progressivism
"We will fight to pass laws that direct the National Labor Relations Board to certify a union if a simple majority of eligible workers sign valid authorization cards,",progressivism
as well as laws that bring companies to the negotiating table.,progressivism
We support binding arbitration to help workers who have voted to join a union reach a first contract.,progressivism
A major factor in the 40-year decline in the middle class is that the rights of workers to bargain collectively for better wages and benefits have been under attack at all levels.,progressivism
Donald Trump would make matters worse by creating a race to the bottom where the middle class is fighting over fewer and fewer good-paying jobs.,progressivism
Democrats believe so-called “right to work” laws are wrong for workers—such as teachers and other public employees who serve our communities every day—and wrong for America.,progressivism
"We will continue to vigorously oppose those laws and other efforts that would eliminate dues check-off procedures,",progressivism
"roll-back prevailing wage standards,",progressivism
"abolish fair share requirements,",progressivism
"restrict the use of voluntary membership payments for political purposes,",progressivism
"attack seniority, restrict due process protections,",progressivism
and require annual recertification efforts.,progressivism
We oppose legislation and lawsuits that would strike down laws protecting the rights of teachers and other public employees.,progressivism
"We will defend President Obama's overtime rule, which protects of millions of workers by paying them fairly for their hard work.",progressivism
"The Democratic Party believes consumers, workers, students, retirees, and investors who have been mistreated should never be denied their right to fight for fair treatment under the law.",progressivism
"We will fight to secure equal pay for women, which will benefit all women and their families,",progressivism
"particularly women of color who are disproportionately impacted by discriminatory pay practices, and against other factors that contribute to the wage gap.",progressivism
And we will combat the discrimination they face on and off the job.,progressivism
"While Donald Trump thinks it is “dangerous” for women to leave the home and paid family leave hurts our economy,",progressivism
Democrats will make sure that the United States finally enacts national paid family and medical leave by passing a family and medical leave act that would provide all workers at least 12 weeks of paid leave to care for a new child or address a personal or family member’s serious health issue.,progressivism
Our work and family policies must also help family caregivers.,progressivism
We will address the conditions that make it hard for workers with unpredictable or inflexible schedules to meet caregiving responsibilities.,progressivism
"boost wages for childcare workers,",progressivism
"Not only will this help address the affordable housing crisis, it will also create millions of good-paying jobs in the process.",progressivism
"Democrats believe that we should provide more federal resources to the people struggling most with unaffordable housing: low-income families, people with disabilities, veterans, and the elderly.",progressivism
especially in communities of color;,progressivism
"And we will fight for robust funding to end homelessness in our cities and counties once and for all, through targeted investments to provide the necessary outreach, social services, and housing options for all populations experiencing homelessness.",progressivism
"We will engage in a stronger, more coordinated, and better funded partnership among federal, state, and local governments to end chronic homelessness for millions of Americans.",progressivism
We will build on and expand President Obama's promising initiatives to end veteran and family homelessness in our country.,progressivism
"These steps are especially important because over the next decade most new households will be formed by families in communities of color, which typically have less generational wealth and fewer resources to put towards a down payment.",progressivism
It also provides important life insurance to young survivors of deceased workers and provides disability insurance protection.,progressivism
"including women who are widowed or took time out of the workforce to care for their children, aging parents, or ailing family members.",progressivism
Democrats believe it should be easier for Americans to save for retirement and prepare for unforeseen risks and expenses.,progressivism
We will defend the right of workers to collect their defined benefit pensions and make sure workers get priority and protection when pension plans are in distress.,progressivism
"Seniors should not have to choose between putting food on the table, keeping a roof over their heads, or buying the medication that they need to stay healthy.",progressivism
"We are also committed to fighting the immense problem of elder abuse, neglect, and exploitation.",progressivism
It also includes promoting vote-by-mail to increase voter participation and to help address the scourge of voter suppression.,progressivism
Democrats know that nothing is more important than creating good-paying jobs that can support a middle-class life,progressivism
"—from nurses, firefighters, and teachers to construction workers, factory workers, and small business owners.",progressivism
"That is why we are committed to doing everything we can to build a full-employment economy, where everyone has a job that pays enough to raise a family and live in dignity with a sense of purpose.",progressivism
and put millions of Americans back to work in decent paying jobs in both the public and private sectors.,progressivism
"These investments will create secure, good-paying middle-class jobs today and will substantially increase demand for American-made steel and other products manufactured in the United States.",progressivism
"And by boosting economic growth in a fair and equitable way, and strengthening our long-term competitiveness, these investments will create many more jobs in the years to come.",progressivism
"Democrats believe one of the best ways to innovate, prosper, and create good-paying jobs is to make more in America, which is why we firmly support American manufacturing with a “Make it in America” plan.",progressivism
We must revitalize hard-hit manufacturing communities;,progressivism
create thriving hubs of manufacturing and innovation throughout the country;,progressivism
American workers deserve better.,progressivism
We are focused on creating good jobs in communities across America.,progressivism
"especially women and people of color,",progressivism
"We must harness these forces so that they create higher-paying jobs across the country,",progressivism
"bring more people into the workforce,",progressivism
and reduce inequality.,progressivism
and promote inclusion in the digital economy;,progressivism
and enhance opportunities to achieve greater economic self-sufficiency for people with disabilities.,progressivism
"Democrats support a free and open internet at home and abroad, and will oppose any effort by Republicans to roll back the historic net neutrality rules that the Federal Communications Commission enacted last year.",progressivism
"We will protect the intellectual property rights of artists, creators, and inventors at home and abroad.",progressivism
The entire nation prospers when we promote the unique and original artistic and cultural contributions of the women and men who create and preserve our nation’s heritage.,progressivism
Democrats will fight against unfair theft of intellectual property and trade secrets.,progressivism
"Democrats also realize the critical importance of small businesses as engines of opportunity for women, people of color, tribes, and people in rural America, and will work to nurture entrepreneurship.",progressivism
Democrats will make investments to spur the creation of millions of jobs for our young people.,progressivism
"Roughly one in ten Americans between the ages of 16 and 24 is unemployed, more than twice the national average.",progressivism
"The unemployment rates for African American, Latino, Asian American and Pacific Islander (AAPI), and American Indian teenager sand youth with disabilities are far too high.",progressivism
That is why Democrats will provide direct federal funding for a range of local programs that will put young people to work and create new career opportunities.,progressivism
"Democrats believe that today’s extreme levels of income and wealth inequality are bad for our people, bad for our businesses, and bad for our economy.",progressivism
"Our country depends on a thriving middle class to drive economic growth, but the middle class is shrinking.",progressivism
These trends create problems beyond insulting our sense of basic fairness.,progressivism
Children who are born to families in the lowest fifth of earnings are more than 10 times more likely to remain there as adults than they are to earn as much as those in the top fifth.,progressivism
"Unless we invest in building a level playing field, we all lose.",progressivism
“Equal Justice Under Law” will not just be words engraved on the entrance of the Supreme Court.,progressivism
Democrats will also continue to support the CFPB in enforcing foundational civil rights laws protecting against discrimination in consumer lending.,progressivism
which can be corrosive to a healthy democracy.,progressivism
"At a time of massive income and wealth inequality,",progressivism
we believe the wealthiest Americans and largest corporations must pay their fair share of taxes.,progressivism
"Democrats will claw back tax breaks for companies that ship jobs overseas,",progressivism
that will lead to millions of good-paying jobs.,progressivism
We will ensure those at the top contribute to our country’s future by establishing a multimillionaire surtax to ensure millionaires and billionaires pay their fair share.,progressivism
and ensure millionaires can no longer pay a lower rate than their secretaries.,progressivism
"Democrats believe that no one should be able avoid paying their fair share by hiding money abroad,",progressivism
