text,cmp_code
Twenty million people have gained health insurance coverage.,regulationism
They are working longer hours with less security.,regulationism
Wages have barely budged,regulationism
while the cost of everything from childcare to a college education has continued to rise.,regulationism
"As working people struggle, the top one percent accrues more wealth and more power.",regulationism
It’s no wonder that so many feel like the system is rigged against them.,regulationism
Democrats believe we are stronger when we have an economy that works for everyone,regulationism
"And we can have more economic fairness,",regulationism
"We need an economy that prioritizes long-term investment over short-term profit-seeking,",regulationism
"rewards the common interest over self-interest,",regulationism
"We believe that today’s extreme level of income and wealth inequality—where the majority of the economic gains go to the top one percent and the richest 20 people in our country own more wealth than the bottom 150 million—makes our economy weaker,",regulationism
"our communities poorer,",regulationism
"We believe a good education is a basic right of all Americans, no matter what zip code they live in.",regulationism
"We will end the school-to-prison pipeline and build a cradle-to-college pipeline instead, where every child can live up to his or her God-given potential.",regulationism
"And as the party that created Social Security, we believe in protecting every American’s right to retire with dignity.",regulationism
"We firmly believe that the greed, recklessness, and illegal behavior on Wall Street must be brought to an end.",regulationism
Wall Street must never again be allowed to threaten families and businesses on Main Street.,regulationism
"Democrats believe we are stronger when we protect citizens’ right to vote, while stopping corporations’ outsized influence in elections.",regulationism
"We will fight to end the broken campaign finance system,",regulationism
"overturn the disastrous Citizens United decision,",regulationism
in the number of Americans who would lose access to health care and see their rights ripped away.,regulationism
"We can and we will build a more just economy,",regulationism
Democrats believe we must break down all the barriers holding Americans back,regulationism
"If you work hard and play by the rules, you can get ahead and stay ahead.",regulationism
"The system is not working when we have a rigged economy in which ordinary Americans work longer hours for lower wages,",regulationism
while most new income and wealth goes to the top one percent.,regulationism
"having access to affordable and quality childcare,",regulationism
—feel out of reach.,regulationism
It is no wonder so many Americans feel like the deck is stacked against them.,regulationism
and other investments will help rebuild the middle class for the 21st century.,regulationism
Democrats believe that the current minimum wage is a starvation wage and must be increased to a living wage.,regulationism
We believe that Americans should earn at least $15 an hour,regulationism
"We should raise the federal minimum wage to $15 an hour over time and index it,",regulationism
and create new ways for workers to have power in the economy so every worker can earn at least $15 an hour.,regulationism
"That is why we will support efforts to limit the use of forced arbitration clauses in employment and service contracts, which unfairly strip consumers, workers, students, retirees, and investors of their right to their day in court.",regulationism
We will fight to allow workers the right to earn at least seven days of paid sick leave.,regulationism
We will also encourage employers to provide paid vacation.,regulationism
"We will ensure that family caregivers have the support, respite care, and training they need to support their loved ones.",regulationism
"We will create a strong stable paid caregiving workforce to help meet families' needs, by raising wages, improving access to training, and giving workers the opportunity to come together to make their voices heard in support of a stronger system.",regulationism
We will take steps to expand and strengthen the home care workforce.,regulationism
"We will increase investments  to make quality childcare more affordable,",regulationism
"and support the millions of people paying for, coordinating, or providing care for aging relatives or those with disabilities.",regulationism
"Corporate profits are at near-record highs,",regulationism
but workers have not shared through rising wages.,regulationism
Profit-sharing is linked to higher pay and productivity.,regulationism
"we will incentivize companies to share profits with their employees on top of wages and pay increases,",regulationism
while targeting the workers and businesses that need profit-sharing the most.,regulationism
Democrats will continue to fight for those families who suffered the loss of their homes.,regulationism
"Democrats will also combat the affordable housing crisis and skyrocketing rents in many parts of the country,",regulationism
which is leading too many families and workers to be pushed out of communities where they work.,regulationism
create affordable and workforce housing;,regulationism
and preserve neighborhood-serving nonprofit organizations and small businesses.,regulationism
We will keep the housing market robust and inclusive by supporting more first-time homebuyers and putting more Americans into the financial position to become sustainable homeowners;,regulationism
preserving the 30-year fixed rate mortgage; modernizing credit scoring; clarifying lending rules; expanding access to housing counseling; defending and strengthening the Fair Housing Act;,regulationism
"and ensuring that regulators have the clear direction, resources, and authority to enforce those rules effectively.",regulationism
We will prevent predatory lending by defending the Consumer Financial Protection Bureau (CFPB).,regulationism
"Democrats are proud to be the party that created Social Security, one of the nation’s most successful and effective programs.",regulationism
"Without Social Security, nearly half of America’s seniors would be living in poverty.",regulationism
Social Security is more than just a retirement program.,regulationism
"We will fight every effort to cut, privatize, or weaken Social Security, including attempts to raise the retirement age, diminish benefits by cutting cost-of-living adjustments, or reducing earned benefits.",regulationism
"Democrats will expand Social Security so that every American can retire with dignity and respect,",regulationism
